"ID" "issue"
"BU4_900" "Single digit social code"
"CHY_10" "Single digit social code"
"CHY_149" "Single digit social code"
"CHY_150" "Single digit social code"
"CHY_157" "Single digit social code"
"CHY_2035" "Single digit social code"
"CHY_2036" "Single digit social code"
"CHY_2067" "Single digit social code"
"CHY_2090" "Single digit social code"
"CHY_2091" "Single digit social code"
"CHY_2092" "Single digit social code"
"CHY_2093" "Single digit social code"
"CHY_2094" "Single digit social code"
"CHY_2095" "Single digit social code"
"CHY_2096" "Single digit social code"
"CHY_2097" "Single digit social code"
"CHY_2121" "Single digit social code"
"CHY_23076" "Single digit social code"
"CHY_23077" "Single digit social code"
"CHY_23078" "Single digit social code"
"CHY_23079" "Single digit social code"
"CHY_23080" "Single digit social code"
"CHY_24394" "Single digit social code"
"CHY_24855" "Single digit social code"
"CHY_3727" "Single digit social code"
"CHY_3797" "Single digit social code"
"CHY_3829" "Single digit social code"
"CHY_464" "Single digit social code"
"CHY_4873" "Single digit social code"
"CHY_5146" "Single digit social code"
"CHY_5223" "Single digit social code"
"CHY_5225" "Single digit social code"
"CHY_5258" "Single digit social code"
"CHY_526" "Single digit social code"
"CHY_528" "Single digit social code"
"CHY_5406" "Single digit social code"
"CHY_5433" "Single digit social code"
"CHY_5661" "Single digit social code"
"CHY_6525" "Single digit social code"
"CHY_668" "Single digit social code"
"CHY_715" "Single digit social code"
"CHY_8" "Single digit social code"
"CHY_9" "Single digit social code"
"CRW_11" "Single digit social code"
"CRW_12" "Single digit social code"
"CRW_13" "Single digit social code"
"CRW_14" "Single digit social code"
"CRW_15" "Single digit social code"
"CRW_16" "Single digit social code"
"CRW_17" "Single digit social code"
"CRW_18" "Single digit social code"
"CRW_24378" "Single digit social code"
"CRW_39" "Single digit social code"
"CRW_4" "Single digit social code"
"CRW_41960" "Single digit social code"
"CRW_41961" "Single digit social code"
"CRW_4492" "Single digit social code"
"CRW_5" "Single digit social code"
"CRW_5341" "Single digit social code"
"CRW_6B" "Single digit social code"
"CRW_7764" "Single digit social code"
"CRW_8" "Single digit social code"
"CRW_8137" "Single digit social code"
"CRW_8138" "Single digit social code"
"CRW_8139" "Single digit social code"
"CRW_8140" "Single digit social code"
"CRW_8141" "Single digit social code"
"CRW_8142" "Single digit social code"
"CRW_8143" "Single digit social code"
"CRW_8144" "Single digit social code"
"CRW_8145" "Single digit social code"
"CRW_8146" "Single digit social code"
"CRW_8147A" "Single digit social code"
"CRW_8147B" "Single digit social code"
"CRW_8147C" "Single digit social code"
"CRW_8148" "Single digit social code"
"CRW_8149A" "Single digit social code"
"CRW_8149B" "Single digit social code"
"CRW_8149C" "Single digit social code"
"CRW_8150" "Single digit social code"
"CRW_8151" "Single digit social code"
"CRW_8152A" "Single digit social code"
"CRW_8152B" "Single digit social code"
"CRW_8316" "Single digit social code"
"CRW_8785" "Single digit social code"
"CRW_8785A" "Single digit social code"
"CRW_8785B" "Single digit social code"
"CRW_8786" "Single digit social code"
"CRW_8787A" "Single digit social code"
"CRW_8787B" "Single digit social code"
"CRW_8787C" "Single digit social code"
"CRW_8787D" "Single digit social code"
"CRW_8787E" "Single digit social code"
"CRW_8787F" "Single digit social code"
"CRW_8788" "Single digit social code"
"CRW_8789" "Single digit social code"
"CRW_8790A" "Single digit social code"
"CRW_8790B" "Single digit social code"
"CRW_8791" "Single digit social code"
"CRW_8792" "Single digit social code"
"CRW_8871" "Single digit social code"
"CRW_8872" "Single digit social code"
"CRW_8873" "Single digit social code"
"CRW_8874" "Single digit social code"
"CRW_8876" "Single digit social code"
"CRW_8877" "Single digit social code"
"CRW_8878" "Single digit social code"
"CRW_8879" "Single digit social code"
"CRW_8880" "Single digit social code"
"CRW_8881" "Single digit social code"
"CRW_9123" "Single digit social code"
"CRW_9123A" "Single digit social code"
"CRW_9123B" "Single digit social code"
"CRW_9123C" "Single digit social code"
"CRW_9395" "Single digit social code"
"CRW_9396" "Single digit social code"
"CX1_100" "Single digit social code"
"DW2_100" "Single digit social code"
"DW2_1000" "Single digit social code"
"DW2_1200" "Single digit social code"
"DW2_1301" "Single digit social code"
"DW2_1302" "Single digit social code"
"DW2_1401" "Single digit social code"
"DW2_1402" "Single digit social code"
"DW2_1500" "Single digit social code"
"DW2_1600" "Single digit social code"
"DW2_1701" "Single digit social code"
"DW2_1702" "Single digit social code"
"DW2_1800" "Single digit social code"
"DW2_1900" "Single digit social code"
"DW2_1MISC" "Single digit social code"
"DW2_2000" "Single digit social code"
"DW2_2101" "Single digit social code"
"DW2_2102" "Single digit social code"
"DW2_2300" "Single digit social code"
"DW2_2400" "Single digit social code"
"DW2_2500" "Single digit social code"
"DW2_2600" "Single digit social code"
"DW2_2700" "Single digit social code"
"DW2_2800" "Single digit social code"
"DW2_2900" "Single digit social code"
"DW2_3000" "Single digit social code"
"DW2_3101" "Single digit social code"
"DW2_3102" "Single digit social code"
"DW2_3200" "Single digit social code"
"DW2_3300" "Single digit social code"
"DW2_3400" "Single digit social code"
"DW2_3500" "Single digit social code"
"DW2_3601" "Single digit social code"
"DW2_3602" "Single digit social code"
"DW2_3701" "Single digit social code"
"DW2_3702" "Single digit social code"
"DW2_3800" "Single digit social code"
"DW2_3900" "Single digit social code"
"DW2_4000" "Single digit social code"
"DW2_4100" "Single digit social code"
"DW2_4200" "Single digit social code"
"DW2_601" "Single digit social code"
"DW2_602" "Single digit social code"
"DW2_603" "Single digit social code"
"DW2_604" "Single digit social code"
"DW2_800" "Single digit social code"
"DW2_FS13" "Single digit social code"
"DW2_FS14" "Single digit social code"
"DW2_FS16" "Single digit social code"
"DW2_FS20" "Single digit social code"
"DW2_FS25" "Single digit social code"
"DW2_FS26" "Single digit social code"
"DW2_FS46" "Single digit social code"
"DW2_FS49" "Single digit social code"
"DW2_FS51" "Single digit social code"
"DW2_FS53" "Single digit social code"
"DW2_FS6" "Single digit social code"
"DW2_FS75" "Single digit social code"
"DW2_FS76" "Single digit social code"
"DW2_FS90" "Single digit social code"
"DW2_FS91" "Single digit social code"
"DW2_FS93" "Single digit social code"
"HU6_2245" "Single digit social code"
"HU6_2246" "Single digit social code"
"HU6_2247" "Single digit social code"
"HU6_2248" "Single digit social code"
"HU6_2249" "Single digit social code"
"HU6_2250" "Single digit social code"
"KX1_11600" "Single digit social code"
"KX1_11700" "Single digit social code"
"KX1_11800" "Single digit social code"
"KX1_11900" "Single digit social code"
"KX1_12000" "Single digit social code"
"KX1_14700" "Single digit social code"
"KX1_1500" "Single digit social code"
