"Site" "num" "HI" "QALY" "lifeEx" "Pyl" "Stature" "Hypoplasia" "Anemia" "Dental" "Infection" "DJD" "Trauma"
"W4A" 24 98.34 25.94 37 888 NA NA NA 95.02 100 NA 100
"WR3" 2 98.33 25.94 37 74 NA NA NA 95 100 NA 100
"W7N" 9 98.05 25.87 37 333 NA NA NA NA 100 NA 96.1
"WI1" 1 97.99 25.85 37 37 NA NA NA 93.96 100 NA 100
"WR1" 9 97.79 25.8 37 333 NA NA NA 93.38 100 NA 100
"WRB" 3 97.38 25.69 37 111 NA NA NA 92.15 100 NA 100
"WR5" 4 97.26 25.66 37 148 NA NA NA 91.77 100 NA 100
"W17" 6 97.23 25.65 37 222 NA NA NA 91.69 100 NA 100
"W82" 1 97.07 25.61 37 37 NA NA NA 91.22 100 NA 100
"WBA" 2 96.89 25.56 37 74 NA NA NA 90.67 100 NA 100
"W47" 2 96.58 25.48 36.5 73 NA NA NA NA 96.58 NA 96.58
"WI4" 1 96.27 25.4 37 37 NA NA NA 88.82 100 NA 100
"WR9" 6 95.6 25.22 37 222 NA NA NA 86.79 100 NA 100
"WV2" 1 95.38 25.16 37 37 NA NA NA 86.15 100 NA 100
"W62" 2 95.08 25.08 44.5 89 NA NA NA 94.24 95.51 NA 95.51
"W78" 9 95.04 25.07 37.56 338 NA NA NA 97.48 93.82 NA 93.82
"W52" 73 94.14 24.83 36.92 2695 NA 86.66 98.83 95.06 93.73 NA 96.43
"W53" 4 93.94 24.78 37 148 NA NA NA 81.81 100 NA 100
"Wr3" 62 93.8 24.74 37.23 2308 NA 86.48 98.41 91.63 96.69 NA 95.76
"WO0" 17 92.98 24.53 34.41 585 NA NA NA NA 92.98 NA 92.98
"W01" 3 92.66 24.44 43 129 NA NA NA 89.34 94.32 NA 94.32
"SAN" 1 92.37 24.37 21 21 55.38 NA 100 98.81 100 100 100
"W71" 13 92.16 24.31 38.62 502 NA NA NA 90.73 92.87 NA 92.87
"HOL" 2 90.01 23.74 57 114 65.98 100 100 82.13 100 81.94 100
